Ubigeo;Departamento;Total;0 - 4;5-Set;Oct-14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 -59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más;Year
;Tumbes;251,521;21,816;20,604;21,217;19,395;19,797;18,511;18,939;19,022;19,997;17,078;14,610;12,369;9,607;7,449;4,886;3,019;3,205;2020
;Ucayali;589,110;67,607;58,800;56,468;48,229;50,585;47,108;42,493;43,155;39,660;31,671;27,871;23,824;17,645;13,405;8,576;5,365;6,648;2020
;Amazonas;428,512;45,905;44,971;47,834;39,066;33,981;32,293;35,162;31,321;27,375;20,723;18,252;15,381;12,016;9,324;6,348;4,160;4,400;2021
;Áncash;1,188,391;107,431;99,664;104,593;87,531;92,049;97,762;98,280;88,171;77,517;64,387;61,493;54,349;43,074;36,321;27,746;20,957;27,066;2021
;Apurímac;430,609;42,576;42,376;45,262;36,486;31,694;33,811;41,050;34,806;27,089;20,527;17,058;15,859;12,504;10,095;7,551;5,835;6,030;2021
;Arequipa;1,526,669;118,695;108,737;111,306;108,608;124,122;127,849;117,181;114,539;108,715;97,521;90,174;78,019;63,429;52,792;40,247;27,558;37,177;2021
;Ayacucho;669,979;68,290;66,980;70,573;60,172;55,224;59,496;57,556;47,411;38,068;31,472;26,857;24,395;19,327;15,363;11,124;8,477;9,194;2021
;Cajamarca;1,455,245;138,376;141,502;158,575;135,508;120,003;119,796;117,282;104,780;93,912;73,792;62,540;52,462;42,131;33,816;24,390;16,966;19,414;2021
;Prov. Const. del Callao;1,151,480;90,161;79,793;78,917;72,833;85,156;88,459;81,292;83,585;86,620;80,637;73,804;63,255;51,537;44,892;34,788;24,074;31,677;2021
;Cusco;1,369,932;127,139;121,973;131,923;116,479;113,042;119,224;116,921;103,397;87,847;69,656;62,098;56,468;45,861;35,402;25,457;17,063;19,982;2021
